driver_id,round,position,grid_position,points,status,laps_completed,rarity
norris,15,18.0,2.0,0.0,Retired,64.0,Common
leclerc,15,19.0,6.0,0.0,Retired,52.0,Common
hamilton,15,20.0,7.0,0.0,Retired,22.0,Common
max_verstappen,16,1.0,1.0,25.0,Finished,53.0,Legendary
norris,16,2.0,2.0,18.0,Finished,53.0,Epic
piastri,16,3.0,3.0,15.0,Finished,53.0,Epic
leclerc,16,4.0,4.0,12.0,Finished,53.0,Rare
russell,16,5.0,5.0,10.0,Finished,53.0,Rare
hamilton,16,6.0,10.0,8.0,Finished,53.0,Rare
albon,16,7.0,14.0,6.0,Finished,53.0,Rare
bortoleto,16,8.0,7.0,4.0,Finished,53.0,Rare
antonelli,16,9.0,6.0,2.0,Finished,53.0,Rare
hadjar,16,10.0,19.0,1.0,Finished,53.0,Rare
sainz,16,11.0,13.0,0.0,Finished,53.0,Common
bearman,16,12.0,11.0,0.0,Finished,53.0,Common
tsunoda,16,13.0,9.0,0.0,Finished,53.0,Common
lawson,16,14.0,18.0,0.0,Finished,53.0,Common
ocon,16,15.0,15.0,0.0,Lapped,52.0,Common
gasly,16,16.0,20.0,0.0,Lapped,52.0,Common
colapinto,16,17.0,17.0,0.0,Lapped,52.0,Common
stroll,16,18.0,16.0,0.0,Lapped,52.0,Common
alonso,16,19.0,8.0,0.0,Retired,24.0,Common
hulkenberg,16,20.0,12.0,0.0,Did not start,0.0,Common
max_verstappen,17,1.0,1.0,25.0,Finished,51.0,Legendary
russell,17,2.0,5.0,18.0,Finished,51.0,Epic
sainz,17,3.0,2.0,15.0,Finished,51.0,Epic
antonelli,17,4.0,4.0,12.0,Finished,51.0,Rare
lawson,17,5.0,3.0,10.0,Finished,51.0,Rare
tsunoda,17,6.0,6.0,8.0,Finished,51.0,Rare
norris,17,7.0,7.0,6.0,Finished,51.0,Rare
hamilton,17,8.0,12.0,4.0,Finished,51.0,Rare
leclerc,17,9.0,10.0,2.0,Finished,51.0,Rare
hadjar,17,10.0,8.0,1.0,Finished,51.0,Rare
bortoleto,17,11.0,13.0,0.0,Finished,51.0,Common
bearman,17,12.0,15.0,0.0,Finished,51.0,Common
albon,17,13.0,19.0,0.0,Finished,51.0,Common
ocon,17,14.0,20.0,0.0,Finished,51.0,Common
alonso,17,15.0,11.0,0.0,Finished,51.0,Common
hulkenberg,17,16.0,17.0,0.0,Finished,51.0,Common
stroll,17,17.0,14.0,0.0,Finished,51.0,Common
gasly,17,18.0,18.0,0.0,Lapped,50.0,Common
colapinto,17,19.0,16.0,0.0,Lapped,50.0,Common
piastri,17,20.0,9.0,0.0,Retired,0.0,Common
russell,18,1.0,1.0,25.0,Finished,62.0,Legendary
max_verstappen,18,2.0,2.0,18.0,Finished,62.0,Epic
norris,18,3.0,5.0,15.0,Finished,62.0,Epic
piastri,18,4.0,3.0,12.0,Finished,62.0,Rare
antonelli,18,5.0,4.0,10.0,Finished,62.0,Rare
leclerc,18,6.0,7.0,8.0,Finished,62.0,Rare
alonso,18,7.0,10.0,6.0,Finished,62.0,Rare
hamilton,18,8.0,6.0,4.0,Finished,62.0,Rare
bearman,18,9.0,9.0,2.0,Finished,62.0,Rare
sainz,18,10.0,18.0,1.0,Lapped,61.0,Rare
hadjar,18,11.0,8.0,0.0,Lapped,61.0,Common
tsunoda,18,12.0,13.0,0.0,Lapped,61.0,Common
stroll,18,13.0,15.0,0.0,Lapped,61.0,Common
albon,18,14.0,20.0,0.0,Lapped,61.0,Common
lawson,18,15.0,12.0,0.0,Lapped,61.0,Common
colapinto,18,16.0,16.0,0.0,Lapped,61.0,Common
bortoleto,18,17.0,14.0,0.0,Lapped,61.0,Common
ocon,18,18.0,17.0,0.0,Lapped,61.0,Common
gasly,18,19.0,19.0,0.0,Lapped,61.0,Common
hulkenberg,18,20.0,11.0,0.0,Lapped,61.0,Common
max_verstappen,19,1.0,1.0,25.0,Finished,56.0,Legendary
norris,19,2.0,2.0,18.0,Finished,56.0,Epic
leclerc,19,3.0,3.0,15.0,Finished,56.0,Epic
hamilton,19,4.0,5.0,12.0,Finished,56.0,Rare
piastri,19,5.0,6.0,10.0,Finished,56.0,Rare
russell,19,6.0,4.0,8.0,Finished,56.0,Rare
tsunoda,19,7.0,13.0,6.0,Finished,56.0,Rare
hulkenberg,19,8.0,11.0,4.0,Finished,56.0,Rare
bearman,19,9.0,8.0,2.0,Finished,56.0,Rare
alonso,19,10.0,10.0,1.0,Finished,56.0,Rare
lawson,19,11.0,12.0,0.0,Finished,56.0,Common
stroll,19,12.0,19.0,0.0,Finished,56.0,Common
antonelli,19,13.0,7.0,0.0,Finished,56.0,Common
albon,19,14.0,18.0,0.0,Finished,56.0,Common
ocon,19,15.0,17.0,0.0,Finished,56.0,Common
hadjar,19,16.0,20.0,0.0,Finished,56.0,Common
colapinto,19,17.0,15.0,0.0,Lapped,55.0,Common
bortoleto,19,18.0,16.0,0.0,Lapped,55.0,Common
gasly,19,19.0,14.0,0.0,Lapped,55.0,Common
sainz,19,20.0,9.0,0.0,Retired,5.0,Common
norris,20,1.0,1.0,25.0,Finished,71.0,Legendary
leclerc,20,2.0,2.0,18.0,Finished,71.0,Epic
max_verstappen,20,3.0,5.0,15.0,Finished,71.0,Epic
bearman,20,4.0,9.0,12.0,Finished,71.0,Rare
piastri,20,5.0,7.0,10.0,Finished,71.0,Rare
antonelli,20,6.0,6.0,8.0,Finished,71.0,Rare
russell,20,7.0,4.0,6.0,Finished,71.0,Rare
hamilton,20,8.0,3.0,4.0,Finished,71.0,Rare
ocon,20,9.0,11.0,2.0,Finished,71.0,Rare
bortoleto,20,10.0,16.0,1.0,Finished,71.0,Rare
tsunoda,20,11.0,10.0,0.0,Finished,71.0,Common
albon,20,12.0,17.0,0.0,Lapped,70.0,Common
hadjar,20,13.0,8.0,0.0,Lapped,70.0,Common
stroll,20,14.0,19.0,0.0,Lapped,70.0,Common
gasly,20,15.0,18.0,0.0,Lapped,70.0,Common
colapinto,20,16.0,20.0,0.0,Lapped,70.0,Common
sainz,20,17.0,12.0,0.0,Retired,67.0,Common
alonso,20,18.0,14.0,0.0,Retired,34.0,Common
hulkenberg,20,19.0,13.0,0.0,Retired,25.0,Common
lawson,20,20.0,15.0,0.0,Retired,5.0,Common
norris,21,1.0,1.0,25.0,Finished,71.0,Legendary
antonelli,21,2.0,2.0,18.0,Finished,71.0,Epic
max_verstappen,21,3.0,19.0,15.0,Finished,71.0,Epic
russell,21,4.0,6.0,12.0,Finished,71.0,Rare
piastri,21,5.0,4.0,10.0,Finished,71.0,Rare
bearman,21,6.0,8.0,8.0,Finished,71.0,Rare
lawson,21,7.0,7.0,6.0,Finished,71.0,Rare
hadjar,21,8.0,5.0,4.0,Finished,71.0,Rare
hulkenberg,21,9.0,10.0,2.0,Finished,71.0,Rare
gasly,21,10.0,9.0,1.0,Finished,71.0,Rare
albon,21,11.0,12.0,0.0,Finished,71.0,Common
ocon,21,12.0,20.0,0.0,Finished,71.0,Common
sainz,21,13.0,15.0,0.0,Finished,71.0,Common
alonso,21,14.0,11.0,0.0,Finished,71.0,Common
colapinto,21,15.0,16.0,0.0,Finished,71.0,Common
stroll,21,16.0,14.0,0.0,Finished,71.0,Common
tsunoda,21,17.0,17.0,0.0,Finished,71.0,Common
hamilton,21,18.0,13.0,0.0,Retired,37.0,Common
leclerc,21,19.0,3.0,0.0,Retired,5.0,Common
bortoleto,21,20.0,18.0,0.0,Retired,0.0,Common
max_verstappen,22,1.0,2.0,25.0,Finished,50.0,Legendary
russell,22,2.0,4.0,18.0,Finished,50.0,Epic
antonelli,22,3.0,17.0,15.0,Finished,50.0,Epic
leclerc,22,4.0,9.0,12.0,Finished,50.0,Rare
sainz,22,5.0,3.0,10.0,Finished,50.0,Rare
hadjar,22,6.0,8.0,8.0,Finished,50.0,Rare
hulkenberg,22,7.0,11.0,6.0,Finished,50.0,Rare
hamilton,22,8.0,19.0,4.0,Finished,50.0,Rare
ocon,22,9.0,13.0,2.0,Finished,50.0,Rare
bearman,22,10.0,14.0,1.0,Finished,50.0,Rare
alonso,22,11.0,7.0,0.0,Finished,50.0,Common
tsunoda,22,12.0,20.0,0.0,Finished,50.0,Common
gasly,22,13.0,10.0,0.0,Finished,50.0,Common
lawson,22,14.0,6.0,0.0,Lapped,49.0,Common
colapinto,22,15.0,15.0,0.0,Lapped,49.0,Common
albon,22,16.0,16.0,0.0,Retired,35.0,Common
bortoleto,22,17.0,18.0,0.0,Retired,2.0,Common
stroll,22,18.0,12.0,0.0,Retired,0.0,Common
norris,22,19.0,1.0,0.0,Disqualified,50.0,Common
piastri,22,20.0,5.0,0.0,Disqualified,50.0,Common
max_verstappen,23,1.0,3.0,25.0,Finished,57.0,Legendary
piastri,23,2.0,1.0,18.0,Finished,57.0,Epic
sainz,23,3.0,7.0,15.0,Finished,57.0,Epic
norris,23,4.0,2.0,12.0,Finished,57.0,Rare
antonelli,23,5.0,5.0,10.0,Finished,57.0,Rare
russell,23,6.0,4.0,8.0,Finished,57.0,Rare
alonso,23,7.0,8.0,6.0,Finished,57.0,Rare
leclerc,23,8.0,10.0,4.0,Finished,57.0,Rare
lawson,23,9.0,12.0,2.0,Finished,57.0,Rare
tsunoda,23,10.0,15.0,1.0,Finished,57.0,Rare
albon,23,11.0,14.0,0.0,Finished,57.0,Common
hamilton,23,12.0,17.0,0.0,Finished,57.0,Common
bortoleto,23,13.0,19.0,0.0,Finished,57.0,Common
colapinto,23,14.0,20.0,0.0,Lapped,56.0,Common
ocon,23,15.0,16.0,0.0,Lapped,56.0,Common
gasly,23,16.0,9.0,0.0,Lapped,56.0,Common
stroll,23,17.0,18.0,0.0,Retired,55.0,Common
